at,csho,dltt,ebit,ebitda,ni,prcc_c,prch_c,prcl_c,exchg
1639.384,51.207,92.084,180.169,290.731,153.25,56.37,56.9,29.88,14
193984,1802,38275,12009,16169,11054,144.63,153.41,105.9436,11
247.659,15.862,103.79,2.952,14.171,15.271,1.14,2.09,0.3445,14
22825.084,251.936,10731.121,2333.304,2838.108,1712.555,155.98,166.98,106.0256,11
103823,838,34266,5593,8248,1358,82.82,83.93,67.41,11
2142.6,127.318,584.4,394.7,468.2,267.2,57.62,58.32,41.56,11
3330.1,70.9,1888.2,246,415.2,-93.2,3.95,6.34,1.675,11
116.883,34.68,2.185,52.765,66.066,52.765,19.51,20.248,14.47,14
8669.477,144.302,3115.092,1048.662,1320.949,677.918,115.26,116.11,69.0925,11
69396,738.565,14033,2788,4854,498,64.2,180.21,61.63,11
26783.4,217.1,5898.7,2122.3,2353.8,1339.1,81.02,85.05,71.5,11
2699.8,198.5,1338.6,-125.4,183,-661.4,7.665,66.4,4,19
790.429,11.573,318.452,59.244,84.144,32.461,50.53,53.41,34.58,11
158838,733,56417,5745,10293,3748,91.21,97.37,82.46,11
4919.642,130.531,1517.5,431.529,535.917,253.668,49.77,54.16,36.15,11
2217.631,31.584,888.007,115.661,303.217,57.215,47.15,64.49,40.06,11
39.632,8.418,3.045,-0.796,0.815,-0.922,0.8301,2.84,0.6302,14
30.827,14.803,3.882,0.012,1.432,-0.37,1.26,1.85,0.75,19
6538.564,111.14,2210.44,428.609,642.634,227.558,97.1,103,72.16,11
280.663,6.241,105.92,21.293,27.742,13.266,30.53,31.965,20.7,14
2546.078,38.926,1091.791,116.701,,121.662,132.67,138.15,87.94,11
1415,43.2,157,-69,-14,116,4.65,4.775,1.87,11
4253.629,113.567,2237.608,531.071,553.649,400.035,46.69,48.98,33.88,11
20869.1,288.41,6398.7,2263.9,3237.2,1558.9,192.99,209.87,141.3,11
64.703,8.349,17.816,7.043,8.469,5.645,6.18,11.0716,5.61,14
3813.2,40.637,1346.075,178.093,280.165,123.037,67.89,74.44,47.99,11
13.475,3.396,0.019,-0.031,0.289,0.187,3.63,4.01,3.11,14
20497,611,4277,3120,3942,2306,76.26,77.24,55.98,11
37.901,21.043,0.238,-4.626,-4.624,-4.307,0.82,1.45,0.735,12
817.721,19.305,23.054,22.713,37.201,25.414,4.44,4.5,1.8604,14
13367.619,119.339,3529.452,746.058,1137.514,511.406,111.86,115.19,89.19,11
6.62,8.459,1.119,-3.791,-2.797,-3.517,0.8814,3.97,0.856,14
365.699,25.917,14.2,50.78,68.974,38.292,21.65,22.21,18.29,11
6.478,44.215,0,-0.973,-0.973,-0.979,0.206,0.305,0.165,19
106.64,47.557,4.603,-27.192,-24.156,2.489,2.63,4.46,2.4838,11
7909,121.2,3379.5,503.3,834.4,-398.8,140.12,148.59,90.685,11
18809.227,255.171,5306.724,201.028,1775.689,-1221.695,10.9,21.86,8.34,11
29585.1,3314.298,3837.736,2300.587,2956.231,237.958,8.78,10.46,7.58,14
148.779,14.215,0.475,9.275,13.306,7.258,9.83,13,9.2701,14
35.688,2.387,0,2.653,3.194,2.343,21.6,27,20,12
1885.132,11.189,700.852,337.321,405.527,254.286,486.52,505.16,382.88,11
321.203,10.797,30.652,-6.654,-4.108,-5.966,7.75,18.25,6.9,14
3691.884,169.622,326.347,766.692,817.642,590.395,78.02,81.15,64.56,14
277.421,14.653,20.924,78.558,88.418,34.041,44.94,76.68,33.8413,14
293.009,19.261,0,4.864,18.417,5.598,21.49,25.6138,17.49,11
362597,4234,30963,12766,31764,14340,69.78,83.49,66.305,11
9872.7,129.124,3194.3,1070.4,1202.7,477.4,99.82,101.95,70.62,11
117691,489,37543,5622,9838,3769,242.16,245.01,168.66,11
424.61,17.042,91.998,-3.381,30.319,-73.595,15.06,26.25,10.255,14
73537,261.572,34147,3122,6737,1286,151.21,199.32,137.78,11
6794.992,75.541,3435.419,353.772,,353.866,128.73,141.35,115.09,11
1165.5,60.5,241.9,150.4,191.1,108.5,32.25,35.75,19.38,11
21172,309.031,6539,931,1912,564,17,31.985,14.11,11
1834.621,82.005,814.188,114.244,155.544,6.038,14.83,21.28,9.73,11
27.153,10.518,0.624,-20.092,-20.027,-19.361,2.51,5.44,2,14
169369,708.916,13353,3888,4197,2512,30.74,31.64,23.11,14
126240,957.246,6615,2912,2912,1582,17.16,17.54,13.11,11
13497.877,64.2,98.151,265.776,305.196,150.46,34.51,36.635,27.52,14
39824.496,10.629,603.389,673.018,800.707,457.371,532.21,542.12,371.3,14
119872.757,130.568,5363.104,3489.752,3791.067,1929.149,169.75,176.11,141.11,11
495426,1534.155,37811,12143,12645,6914,59.29,61.11,45.05,11
43310.9,311.469,517.204,972.968,1041.587,440.908,16.56,17.42,12.96,11
68.755,1.859,11.097,6.316,9.356,3.648,22.1399,26.5,20.4119,12
254.287,7.903,0,0.852,8.292,-32.605,19.92,25.97,12.98,14
3177.776,211.514,1206.299,277.714,421.942,164.538,21.74,24.355,18.14,11
7966.658,140.174,1861.694,-586.47,-464.288,-1522.164,18.88,41.91,16,11
133.56,6.74,0.273,22.134,25.97,15.317,19.69,25.25,18.85,14
258537,3964.93,102408,5767,15456,47,9.3,10.56,7.48,11
405.171,10.422,65.556,26.809,44.44,42.568,19.38,27.8,15.251,14
1194.743,46.391,110.926,129.852,166.829,95.483,57.32,57.72,41.73,14
14532.2,499.303,724.2,1589.4,1687.3,1195.7,25.98,35.82,25.57,11
91.276,9.121,9.444,-10.922,-7.603,-10.026,10.21,13.52,9.15,14
77.344,7.069,0.372,-2.514,-0.989,-5.249,6.02,8.4816,5.78,12
3985.734,51.241,1898.384,269.445,410.651,130.817,51.57,52.4,39.22,11
8285.1,34.833,4862.7,315.5,647.4,211.2,82.85,86.01,67.59,11
19634.8,188.122,4157,901.8,1376.2,668.8,95.23,96.2,70.44,11
6953.976,217.464,4285.147,596.883,707.512,286.235,16.69,17.24,10.63,11
13679,371,6757,1041,1595,351,17.68,31.39,15.11,11
2707.8,77.3,391.4,240.7,314.3,141,45.66,52.84,30.11,11
,24.423,,,,,37.74,38.59,27.9699,11
48841,289.61,10548,4648,5391,3484,176.35,193.76,152.44,11
266048,8738.434,70403,8799,14394,-4979,11.16,11.84,7.41,11
124.481,12.538,68.198,3.628,9.563,-17.763,0.39,2.0407,0.3217,12
30806.7,609.8,11206,3024.9,3619.6,2181.2,53.56,56.4,38.12,11
180644,374.332,25004,3610,4700,1715,30.56,35.42,22.08,11
228037,1400,66934,9570,22357,6732,36.6,41.9,32.2,11
2134.5,44.203,267.6,118.5,150.6,70.9,50.88,52.17,26.21,11
1680.478,14.697,662.342,94.055,143.629,61.384,47.92,53.2,31.65,11
2168.803,251.278,,488.537,593.24,424.684,28.98,29.74,19.55,14
14645.629,145.378,3627.623,1132.602,1402.89,621.085,106.23,115.2,87.26,11
1211.777,41.368,495.1,71.615,,49.723,32.87,35.03,28.555,11
1283.794,44.248,336.919,50.066,100.886,-21.541,18.3,19.03,9.285,11
105544.085,2476.616,31242.596,9768.774,12576.502,6151.838,46.99,47.57,37.6,11
129.367,24.523,29.39,11.165,22.011,6.727,3.55,3.68,1.97,12
17185,232.65,5421,824,1604,-311,15.555,22.17,10.74,14
382.76,26.068,1.17,43.84,57.589,35.815,37.5,39.6,29,11
3932.6,66.736,1983.5,433.8,534.1,126.3,69.85,79.71,62.905,11
1692.21,167.287,188.474,424.456,472.156,343.853,52,53.91,40.21,11
148.12,9.881,0.137,1.269,3.226,1.872,21.88,24.9,17.7,11
6005,53.688,2085,1388,1616,849,338.52,340.57,255.09,11
6972,99.54,3742,503,698,179,21.44,25.3099,13.6,11
6972,99.54,3742,503,698,179,21.44,25.3099,13.6,11
5426.7,48.266,2665.6,452.5,658.4,171,44.2,50.37,29.85,11
5426.7,48.266,2665.6,452.5,658.4,171,44.2,50.37,29.85,11
4185,71.641,898.1,63.3,137,-60.3,2.1,6.7,1.33,14
50.588,1.483,3.714,,,,18.85,20.375,17,14
33.012,1.013,0,-0.718,-0.718,0.27,12.83,16.4219,12.07,12
25377,878,11265,2058,3683,-1131,24.47,32.71,16.97,11
,11.647,,,,,14.81,15.0381,12.75,11
10117,118.553,2763,1157,1410,949,197.87,217.31,129.46,11
2367.467,78.515,812.472,116.858,252.161,503.919,23.01,27.97,16.33,11
8855.628,136.863,4159.839,669.828,850.615,520.454,105.61,126.87,77.34,14
305.828,9.599,123.48,29.556,44.413,17.022,48.5,48.99,30.98,14
560.072,19.113,149.594,27.021,47.617,21.865,20.16,25.09,15.81,11
560.072,19.113,149.594,27.021,47.617,21.865,20.16,25.09,15.81,11
13745.251,108.973,2279.046,337.912,616.025,219.772,46.86,47.635,35.06,11
389.328,10.512,57.4,42.271,63.855,28.367,45.81,47.94,32.79,14
722.592,74.149,11.649,87.379,101.319,64.581,24.32,44.76,21.16,14
33380.751,410.257,14390.836,1273.253,,1232.432,81.78,93.17,66.82,11
961.94,27.772,397.603,53.899,74.494,39.901,14.08,17.49,10.16,14
2637.308,522.896,522.761,-36.727,169.705,-99.557,3.39,3.51,1.21,11
2969.211,134.496,561.049,459.727,542.285,327.896,114.15,147.93,72.81,11
2969.211,134.496,561.049,459.727,542.285,327.896,114.15,147.93,72.81,11
101450,1221,28670,5090,6084,1935,32.13,48.66,24.86,14
1903.883,25.194,378.282,225.11,262.519,152.333,179.79,181.32,108.305,14
5839.515,108.438,479.356,-12.269,550.534,-33.656,45.43,64.8,35.745,11
8140.395,208.829,3714.976,1716.582,1981.368,1149.692,146.98,162.2,100.8,11
24627,142,16499,887,3881,-58,15.75,21.95,11.24,19
33467,1457.719,4780,4187,4926,3152,20.55,24.09,15.93,11
3128.6,83.6,1104.2,425.2,566.8,306.6,73.31,87,56.09,11
4919,66.625,1783.1,380.2,575,152.2,113.53,114.81,82.56,11
14957,278.985,8993,1579,1925,881,110.91,112.79,67.18,11
92284.91,483.114,9948.678,6151.189,10161.851,814.071,85.135,85.449,52.881,19
12164.841,161.847,2825.223,1463.288,1973.213,772.388,50.71,58.88,37.73,11
51236,1077,33736,15843,18066,11242,218.38,239.3091,168.21,11
1452.512,42.595,234.253,153.913,231.34,110.505,37.46,42.23,29.9,11
190158.011,1726.61,39229.865,5888.686,19470.191,4235.462,28.31,30.12,22.8732,11
8109.004,534.489,250,1140.595,1305.363,978.806,45.11,45.838,37,11
35439,502.242,14286,1477,2764,791,27.27,31.42,24.25,11
1881.424,6.126,1824.589,134.617,138.789,-42.117,20.87,30.35,5.15,11
1072.304,39.857,342.515,55.331,,37.28,24.84,24.88,18.5,11
